Setup,1,2,4,6,8,10,12,14,16
Xeon 8488C with AVX256 & OpenMP,9.677,4.877,2.565,1.83,1.478,1.834,1.593,1.413,1.339
Xeon 8488C with AVX512 & OpenMP,9.154,4.62,2.413,1.717,1.39,1.778,1.541,1.37,1.296
